,REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
132,167818.0,2017-07-06T15:21:00,Dumpster (on Street),Call Center,3,DOMI - Permits,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-4,-79.9988767317383,40.441186607099,EXACT
133,168965.0,2017-07-11T09:36:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Squirrel Hill North,8.0,14.0,42003140100.0,3.0,14.0,4.0,2-8,-79.93839399999999,40.443865,EXACT
134,172781.0,2017-07-24T12:54:00,Dead tree (Public property),Call Center,1,DPW - Forestry Division,Lincoln-Lemington-Belmar,9.0,12.0,42003120300.0,2.0,12.0,5.0,3-15,-79.8984863,40.4668705,EXACT
135,159740.0,2017-06-06T13:08:00,Weeds/Debris,Control Panel,3,"Permits, Licenses and Inspections",Middle Hill,6.0,5.0,42003050100.0,3.0,5.0,2.0,2-5,-79.96809,40.45066,EXACT
136,169331.0,2017-07-12T11:05:00,Dead tree (Public property),Call Center,1,DPW - Forestry Division,Brighton Heights,1.0,27.0,42003270100.0,1.0,27.0,1.0,1-14,-80.043137,40.487542,EXACT
137,172077.0,2017-07-21T07:18:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Allegheny Center,1.0,22.0,42003562700.0,1.0,22.0,1.0,1-6,-80.0061348238037,40.450024339844106,EXACT
138,171959.0,2017-07-20T14:17:00,Dead Tree (3TB),Call Center,1,DPW - Construction Division,Mount Washington,2.0,19.0,42003191400.0,5.0,19.0,3.0,4-27,-80.01399387320579,40.425876102147704,APPROXIMATE
139,163845.0,2017-06-21T11:49:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,Bluff,6.0,1.0,42003010300.0,3.0,1.0,2.0,2-4,-79.9897314,40.434468200000005,EXACT
140,161534.0,2017-06-13T13:37:00,"City Steps, Need Repaired",Call Center,1,DPW - Construction Division,South Side Slopes,3.0,17.0,42003170600.0,3.0,17.0,3.0,4-3,-79.9803345,40.423208,EXACT
141,127546.0,2017-01-25T13:41:00,Dead Tree (3TB),Call Center,1,DPW - Construction Division,Westwood,2.0,28.0,42003563100.0,5.0,28.0,6.0,1-18,-80.05322560957799,40.4322484089029,APPROXIMATE
142,170870.0,2017-07-18T08:56:00,Utility Cut - Other,Call Center,3,DOMI - Permits,Strip District,7.0,2.0,42003020300.0,6.0,2.0,2.0,2-3,-79.9860585,40.449725,EXACT
143,97022.0,2016-08-16T13:09:00,Guide Rail,Call Center,1,DPW - Construction Division,Perry North,1.0,26.0,42003260700.0,1.0,26.0,1.0,1-15,-80.010396,40.477303899999995,EXACT
144,97176.0,2016-08-17T07:49:00,Dead tree (Public property),Call Center,1,DPW - Forestry Division,Regent Square,5.0,14.0,42003141000.0,3.0,14.0,4.0,2-16,-79.89789,40.431564,EXACT
145,138952.0,2017-03-13T11:04:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Windgap,2.0,20.0,42003563000.0,5.0,20.0,6.0,1-16,-80.0721542,40.4532629,EXACT
146,140930.0,2017-03-24T12:31:00,Playground,Call Center,3,DPW - Park Maintenance,Morningside,7.0,10.0,42003101400.0,2.0,10.0,5.0,3-7,-79.9255552,40.4845949,EXACT
147,150652.0,2017-05-04T08:29:00,Utility Cut - PWSA,Call Center,1,Pittsburgh Water and Sewer Authority,Manchester,6.0,21.0,42003210700.0,1.0,21.0,1.0,1-8,-80.02565909999998,40.455348799999996,EXACT
148,165484.0,2017-06-27T14:01:00,"City Steps, Need Repaired",Call Center,1,DPW - Construction Division,Westwood,2.0,28.0,42003563100.0,5.0,28.0,6.0,1-18,-80.0504677,40.435150799999995,EXACT
149,153857.0,2017-05-16T09:06:00,Overgrowth,Website,3,DPW - Street Maintenance,Lincoln-Lemington-Belmar,9.0,12.0,42003120300.0,2.0,12.0,5.0,3-15,-79.8994560343933,40.4703310287502,EXACT
150,155980.0,2017-05-23T12:34:00,Tree Removal,Call Center,1,DPW - Forestry Division,Hazelwood,5.0,15.0,42003562300.0,3.0,15.0,4.0,2-13,-79.93845019999999,40.412115500000006,EXACT
151,166545.0,2017-06-30T14:03:00,Dead tree (Public property),Call Center,1,DPW - Forestry Division,Stanton Heights,9.0,10.0,42003100500.0,2.0,10.0,5.0,3-7,-79.9368561,40.477935200000005,EXACT
152,166292.0,2017-06-29T17:29:00,Landslide,Call Center,1,DOMI - Construction,South Side Slopes,3.0,18.0,42003180300.0,3.0,18.0,3.0,4-5,-79.9967162,40.428166999999995,EXACT
153,148738.0,2017-04-27T14:25:00,Weeds/Debris,Control Panel,3,"Permits, Licenses and Inspections",Upper Hill,6.0,5.0,42003050600.0,3.0,5.0,2.0,2-22,-79.96301089814759,40.4544629352807,EXACT
154,115021.0,2016-11-07T12:59:00,Dead Tree (3TB),Call Center,1,DPW - Construction Division,Carrick,4.0,29.0,42003290100.0,3.0,29.0,3.0,4-23,-79.990618155267,40.3975939058914,APPROXIMATE
155,82499.0,2016-06-24T09:54:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Carrick,4.0,29.0,42003290200.0,3.0,29.0,3.0,4-12,-79.9859873,40.401543200000006,EXACT
156,151697.0,2017-05-08T14:32:00,Fence Maintenance,Control Panel,3,"Permits, Licenses and Inspections",Perry North,1.0,26.0,42003260700.0,1.0,26.0,1.0,1-15,-80.0129381365585,40.4859146269696,APPROXIMATE
157,59464.0,2016-04-05T12:30:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Perry South,6.0,25.0,42003261400.0,1.0,25.0,1.0,1-10,-80.017303,40.461408,EXACT
158,152540.0,2017-05-10T15:04:00,Vacant Building,Control Panel,3,"Permits, Licenses and Inspections",Middle Hill,6.0,5.0,42003050100.0,3.0,5.0,2.0,2-1,-79.9781916,40.447075,EXACT
159,147765.0,2017-04-24T15:09:00,Building Maintenance,Control Panel,3,"Permits, Licenses and Inspections",Perry North,1.0,26.0,42003260700.0,1.0,26.0,1.0,1-15,-80.0115865548404,40.4809014043221,APPROXIMATE
160,144370.0,2017-04-10T14:13:00,Guide Rail,Call Center,3,DPW - Construction Division,Mount Washington,2.0,19.0,42003191400.0,5.0,19.0,3.0,4-27,-80.0119957,40.423803899999996,EXACT
161,85221.0,2016-07-05T14:19:00,Weeds/Debris,Call Center,3,"Permits, Licenses and Inspections",Northview Heights,1.0,26.0,42003260900.0,1.0,26.0,1.0,1-13,-80.00178911904909,40.4738673542155,EXACT
162,127591.0,2017-01-25T15:30:00,Abandoned Vehicle (parked on street),Call Center,3,Police - AVU,Fineview,1.0,25.0,42003250900.0,1.0,25.0,1.0,1-10,-80.0043419256737,40.4616882192707,APPROXIMATE
163,138363.0,2017-03-09T09:29:00,Utility Cut - PWSA,Call Center,1,Pittsburgh Water and Sewer Authority,Larimer,9.0,12.0,42003120400.0,2.0,12.0,5.0,3-12,-79.9096888,40.4660448,EXACT
164,64548.0,2016-04-25T15:07:00,Dead Tree (3TB),Call Center,1,DPW - Construction Division,Homewood West,9.0,12.0,42003120700.0,2.0,12.0,5.0,3-18,-79.9017127227301,40.4623887189244,APPROXIMATE
165,151451.0,2017-05-08T09:18:00,Landslide,Call Center,3,DOMI - Structures,Greenfield,5.0,15.0,42003151700.0,3.0,15.0,4.0,2-15,-79.93260154232792,40.4279916659589,EXACT
166,155829.0,2017-05-23T09:24:00,Building Maintenance,Call Center,1,"Permits, Licenses and Inspections",Hazelwood,5.0,15.0,42003562300.0,3.0,15.0,4.0,2-12,-79.9372748684122,40.4158209765226,APPROXIMATE
167,141247.0,2017-03-27T10:46:00,Landslide,Call Center,1,DOMI - Construction,Allentown,3.0,18.0,42003180300.0,5.0,18.0,3.0,4-5,-79.99280306994059,40.42615204181129,EXACT
168,154477.0,2017-05-17T15:33:00,Landslide,Call Center,1,DOMI - Construction,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0331675,40.467490000000005,EXACT
169,66829.0,2016-05-05T10:30:00,Abandoned Vehicle (parked on street),Control Panel,3,Police - AVU,Perry North,1.0,26.0,42003260700.0,1.0,26.0,1.0,1-15,-80.0130896921815,40.4861090381109,APPROXIMATE
170,152787.0,2017-05-11T11:37:00,Tree Removal,Call Center,1,DPW - Forestry Division,Beechview,2.0,20.0,42003191600.0,5.0,20.0,6.0,4-9,-80.0298778,40.4158921,EXACT
171,152512.0,2017-05-10T14:08:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Spring Garden,1.0,24.0,42003241200.0,1.0,24.0,1.0,1-5,-79.991488497803,40.459836825355296,APPROXIMATE
172,74262.0,2016-05-31T16:10:00,Building Maintenance,Call Center,1,"Permits, Licenses and Inspections",Fineview,1.0,25.0,42003250900.0,1.0,25.0,1.0,1-10,-80.0037660061895,40.4642813627291,APPROXIMATE
173,151418.0,2017-05-08T08:15:00,Landslide,Call Center,1,DOMI - Construction,Mount Washington,3.0,18.0,42003180700.0,5.0,18.0,3.0,4-27,-80.0054873,40.4270361,EXACT
174,149763.0,2017-05-02T08:31:00,Tree Removal,Call Center,1,DPW - Forestry Division,Mount Washington,3.0,18.0,42003191500.0,5.0,18.0,3.0,4-5,-80.00379709999999,40.422236700000006,EXACT
176,86747.0,2016-07-11T09:47:00,Retaining Wall Maintenance,Control Panel,3,"Permits, Licenses and Inspections",California-Kirkbride,6.0,21.0,42003250700.0,1.0,21.0,1.0,1-9,-80.0245763885381,40.461718650711205,APPROXIMATE
177,132805.0,2017-02-20T12:58:00,Abandoned Vehicle (parked on street),Call Center,3,Police - AVU,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.02766217333149,40.470589140322396,APPROXIMATE
178,26779.0,2015-10-07T12:15:00,Abandoned Vehicle (parked on street),Call Center,1,Police - AVU,Lower Lawrenceville,7.0,6.0,42003060300.0,2.0,6.0,2.0,3-6,-79.9609880606682,40.4632119690116,APPROXIMATE
179,145711.0,2017-04-17T11:00:00,Landslide,Call Center,1,DOMI - Construction,Carrick,4.0,32.0,42003290400.0,3.0,32.0,3.0,4-23,-79.989892,40.384209000000006,EXACT
180,101103.0,2016-08-31T08:25:00,Building Maintenance,Call Center,3,"Permits, Licenses and Inspections",Brighton Heights,1.0,27.0,42003270300.0,1.0,27.0,1.0,1-14,-80.0353501297382,40.4784217326856,APPROXIMATE
181,144709.0,2017-04-11T13:23:00,Building Maintenance,Website,1,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0243847288633,40.4739960559126,APPROXIMATE
182,53470.0,2016-03-08T10:58:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Garfield,9.0,10.0,42003101600.0,2.0,10.0,5.0,3-4,-79.93607826256559,40.4681991889403,EXACT
183,56628.0,2016-03-21T16:59:00,Vacant Building,Control Panel,3,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0310808,40.4749571,EXACT
184,89957.0,2016-07-21T11:20:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Spring Garden,1.0,26.0,42003241200.0,1.0,26.0,1.0,1-11,-79.9892632310343,40.473895154495004,APPROXIMATE
185,136035.0,2017-03-02T09:14:00,Building Without a Permit,Control Panel,3,"Permits, Licenses and Inspections",Bloomfield,7.0,8.0,42003080400.0,2.0,8.0,5.0,3-1,-79.9441958043528,40.457531281597,APPROXIMATE
187,85668.0,2016-07-06T14:10:00,Abandoned Vehicle (parked on street),Call Center,3,Police - AVU,Larimer,9.0,12.0,42003120800.0,2.0,12.0,5.0,3-12,-79.9125893605666,40.4614155968697,APPROXIMATE
188,103955.0,2016-09-13T13:14:00,Weeds/Debris,Control Panel,3,"Permits, Licenses and Inspections",Brighton Heights,1.0,27.0,42003270300.0,1.0,27.0,1.0,1-14,-80.0364815,40.475454299999996,EXACT
189,90267.0,2016-07-22T10:35:00,Weeds/Debris,Control Panel,3,"Permits, Licenses and Inspections",Brighton Heights,1.0,27.0,42003270300.0,1.0,27.0,1.0,1-14,-80.034314,40.477039000000005,EXACT
190,110786.0,2016-10-14T11:38:00,Tree Issues,Control Panel,3,"Permits, Licenses and Inspections",Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.98413610310841,40.46258096248,APPROXIMATE
191,102501.0,2016-09-07T09:55:00,Tree Issues,Call Center,3,"Permits, Licenses and Inspections",Knoxville,3.0,30.0,42003300100.0,5.0,30.0,3.0,4-7,-79.99372819120241,40.4124490682419,APPROXIMATE
192,75858.0,2016-06-02T14:07:00,Abandoned Vehicle (parked on street),Call Center,3,Police - AVU,East Hills,9.0,13.0,42003130600.0,2.0,13.0,5.0,3-17,-79.8816462949788,40.4524394660997,APPROXIMATE
193,116203.0,2016-11-14T16:28:00,Building Maintenance,Control Panel,3,"Permits, Licenses and Inspections",Perry North,1.0,26.0,42003260700.0,1.0,26.0,1.0,1-15,-80.0118543509209,40.4809225037571,APPROXIMATE
194,96958.0,2016-08-16T11:45:00,Overcrowding,Control Panel,3,"Permits, Licenses and Inspections",Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.9840749571093,40.4624606042362,APPROXIMATE
195,84992.0,2016-07-05T09:12:00,Vacant Building,Control Panel,3,"Permits, Licenses and Inspections",East Allegheny,1.0,23.0,42003563200.0,1.0,23.0,1.0,1-6,-80.000562,40.457501,EXACT
196,124895.0,2017-01-11T08:15:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Crawford-Roberts,6.0,3.0,42003030500.0,3.0,3.0,2.0,2-1,-79.9862757,40.4448763,EXACT
197,119587.0,2016-12-07T12:49:00,Potholes,Website,1,DPW - Street Maintenance,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-3,-80.0023922,40.4432403,EXACT
198,127880.0,2017-01-26T14:11:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Point Breeze,9.0,14.0,42003140600.0,3.0,14.0,4.0,3-14,-79.89635,40.4461609,EXACT
199,115450.0,2016-11-09T10:29:00,Building Maintenance,Call Center,3,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0242013552312,40.4738676706006,APPROXIMATE
200,100189.0,2016-08-29T07:25:00,Tree Removal,Call Center,3,DPW - Forestry Division,Middle Hill,6.0,5.0,42003050100.0,3.0,5.0,2.0,2-5,-79.974489,40.447893,EXACT
202,113508.0,2016-10-28T20:37:00,Abandoned Vehicle (parked on street),Website,3,Police - AVU,Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.9842234167531,40.462603711093394,APPROXIMATE
203,81382.0,2016-06-21T13:22:00,City Source (CDBG),Call Center,1,"City Source Associates, Inc.",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.02752697281771,40.4707334724431,APPROXIMATE
204,120695.0,2016-12-13T16:28:00,Patrol,Call Center,1,Police - Zones 1-6,Homewood South,9.0,13.0,42003130300.0,2.0,13.0,5.0,3-17,-79.89999747042941,40.4555254109983,APPROXIMATE
205,106948.0,2016-09-26T15:33:00,Building Maintenance,Control Panel,3,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.02415572840292,40.4741556844404,APPROXIMATE
206,112117.0,2016-10-21T10:16:00,Brick/Block or Concrete Slab Repair,Call Center,1,DPW - Construction Division,Garfield,9.0,10.0,42003101600.0,2.0,10.0,5.0,3-4,-79.93594509999998,40.4689188,EXACT
207,69335.0,2016-05-16T10:45:00,Retaining Wall ,Call Center,1,DOMI - Structures,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.024242,40.4942046,EXACT
208,103043.0,2016-09-09T08:54:00,Dumpster (on Street),Call Center,3,DOMI - Permits,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,2-4,-79.9933138,40.4401904,EXACT
209,89780.0,2016-07-20T16:21:00,Weeds/Debris,Call Center,3,"Permits, Licenses and Inspections",South Side Slopes,3.0,16.0,42003160800.0,3.0,16.0,3.0,4-22,-79.970355,40.419203,EXACT
210,85075.0,2016-07-05T11:13:00,Building Maintenance,Control Panel,3,"Permits, Licenses and Inspections",Brighton Heights,1.0,27.0,42003270800.0,1.0,27.0,1.0,1-14,-80.0376675180092,40.4884149793749,APPROXIMATE
211,30517.0,2015-11-03T11:41:00,Lights,Call Center,1,DPW - Park Maintenance,East Hills,9.0,13.0,42003130600.0,2.0,13.0,5.0,3-17,-79.88029,40.455008,EXACT
212,56629.0,2016-03-21T17:02:00,Building Maintenance,Control Panel,3,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.02741068440821,40.4703324022635,APPROXIMATE
213,35985.0,2015-12-01T15:51:00,Guide Rail,Call Center,1,DOMI - Construction,Carrick,4.0,29.0,42003290100.0,3.0,29.0,3.0,4-23,-79.989238,40.393519,EXACT
215,90270.0,2016-07-22T10:38:00,Weeds/Debris,Control Panel,3,"Permits, Licenses and Inspections",Brighton Heights,1.0,27.0,42003270300.0,1.0,27.0,1.0,1-14,-80.034243,40.476953,EXACT
216,90269.0,2016-07-22T10:37:00,Weeds/Debris,Control Panel,3,"Permits, Licenses and Inspections",Brighton Heights,1.0,27.0,42003270300.0,1.0,27.0,1.0,1-14,-80.0346713,40.477036,EXACT
217,88864.0,2016-07-18T12:02:00,Landslide,Control Panel,3,DOMI - Structures,Spring Hill-City View,1.0,24.0,42003262000.0,1.0,24.0,1.0,1-24,-79.9976329,40.4651452,EXACT
219,49271.0,2016-02-19T14:11:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.03389644194341,40.4714855664418,APPROXIMATE
220,30296.0,2015-11-02T12:58:00,Guide Rail,Call Center,1,DPW - Construction Division,Carrick,4.0,29.0,42003290200.0,3.0,29.0,3.0,4-12,-79.98532737486879,40.3986065825826,EXACT
221,80301.0,2016-06-17T15:02:00,Weeds/Debris,Call Center,1,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0274589,40.476927,EXACT
222,91288.0,2016-07-26T13:29:00,Street Obstruction/Closure,Call Center,1,DOMI - Permits,Perry North,1.0,26.0,42003980400.0,1.0,26.0,1.0,1-15,-80.01986090000001,40.4817036,EXACT
223,78823.0,2016-06-14T11:17:00,Broken Sidewalk,Call Center,3,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.02802,40.476729999999996,EXACT
224,88941.0,2016-07-18T13:42:00,Building Maintenance,Call Center,3,"Permits, Licenses and Inspections",Brighton Heights,1.0,27.0,42003270100.0,1.0,27.0,1.0,1-14,-80.04619117355008,40.482285923122504,APPROXIMATE
226,108260.0,2016-10-03T11:40:00,Building Maintenance,Control Panel,3,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0276261774805,40.47037801663971,APPROXIMATE
227,60248.0,2016-04-11T08:05:00,Building Maintenance,Call Center,3,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0338821949121,40.4714734868384,APPROXIMATE
228,68705.0,2016-05-12T12:19:00,Weeds/Debris,Control Panel,3,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0297834,40.4724704,EXACT
229,68703.0,2016-05-12T12:17:00,Weeds/Debris,Control Panel,3,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.029234,40.472512,EXACT
230,73233.0,2016-05-26T09:38:00,Dead Tree (3TB),Call Center,1,DPW - Construction Division,Beechview,4.0,19.0,42003191600.0,5.0,19.0,6.0,4-28,-80.0278896797323,40.41230900098439,APPROXIMATE
231,63799.0,2016-04-21T13:00:00,Building Maintenance,Call Center,1,"Permits, Licenses and Inspections",Spring Hill-City View,1.0,24.0,42003262000.0,1.0,24.0,1.0,1-24,-79.99419618053341,40.462982260023296,APPROXIMATE
232,61272.0,2016-04-14T15:34:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Fineview,1.0,25.0,42003250900.0,1.0,25.0,1.0,1-10,-80.0043346279557,40.461452540790795,APPROXIMATE
233,32765.0,2015-11-10T14:56:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.0187307370033,40.493397985138294,APPROXIMATE
234,96622.0,2016-08-15T14:03:00,Dead Tree (3TB),Call Center,1,DPW - Construction Division,South Oakland,6.0,4.0,42003040900.0,3.0,4.0,4.0,2-10,-79.9626727325541,40.4357138458714,APPROXIMATE
235,96696.0,2016-08-15T16:20:00,Road,Control Panel,3,DOMI - Permits,Brighton Heights,1.0,27.0,42003270100.0,1.0,27.0,1.0,1-14,-80.0431845,40.4875911,EXACT
236,38939.0,2015-12-30T10:52:00,Drainage/Leak,Call Center,3,DPW - Street Maintenance,Greenfield,5.0,15.0,42003151700.0,3.0,15.0,4.0,2-12,-79.9292383,40.419326,EXACT
237,88436.0,2016-07-15T15:11:00,Building Maintenance,Call Center,3,"Permits, Licenses and Inspections",Spring Garden,1.0,26.0,42003241200.0,1.0,26.0,1.0,1-11,-79.9892551350794,40.4740556780001,APPROXIMATE
238,81943.0,2016-06-22T15:12:00,Dead Tree (3TB),Call Center,1,DPW - Construction Division,Crawford-Roberts,6.0,3.0,42003030500.0,3.0,3.0,2.0,2-1,-79.9812582645955,40.440636522515604,APPROXIMATE
239,63300.0,2016-04-19T15:41:00,Broken Sidewalk,Call Center,3,"Permits, Licenses and Inspections",Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.016566,40.487511,EXACT
240,59431.0,2016-04-05T10:53:00,Building Maintenance,Call Center,3,"Permits, Licenses and Inspections",Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.9796823889716,40.4687766555907,APPROXIMATE
241,72168.0,2016-05-23T12:16:00,Operating Without a License,Call Center,3,"Permits, Licenses and Inspections",Fineview,1.0,25.0,42003250900.0,1.0,25.0,1.0,1-10,-80.00391690000001,40.4607659,EXACT
242,55983.0,2016-03-18T07:48:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Spring Garden,1.0,24.0,42003241200.0,1.0,24.0,1.0,1-5,-79.9914459363213,40.4599011360236,APPROXIMATE
243,67179.0,2016-05-06T11:00:00,Bridge Maintenance,Control Panel,1,DOMI - Structures,Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.9820403,40.464518299999995,EXACT
244,64837.0,2016-04-26T17:25:00,Building Without a Permit,Call Center,3,"Permits, Licenses and Inspections",Beechview,4.0,19.0,42003191600.0,5.0,19.0,6.0,4-28,-80.02109185203159,40.411963443843,APPROXIMATE
245,35434.0,2015-11-24T13:52:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0242577624185,40.473894817607395,APPROXIMATE
246,15435.0,2015-07-24T15:37:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,South Side Flats,3.0,16.0,42003160900.0,3.0,16.0,3.0,4-24,-79.96249499999999,40.427186299999995,EXACT
247,15064.0,2015-07-23T10:05:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,East Liberty,9.0,11.0,42003111300.0,2.0,11.0,5.0,3-8,-79.9227444,40.4660098,EXACT
248,52430.0,2016-03-02T11:30:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Perry South,6.0,26.0,42003250900.0,1.0,26.0,1.0,1-22,-80.00501213027191,40.466636456238604,EXACT
249,197102.0,2017-11-03T12:10:00,Utility Cut - PWSA,Call Center,1,Pittsburgh Water and Sewer Authority,Garfield,9.0,10.0,42003101600.0,2.0,10.0,5.0,3-4,-79.9379963,40.4689531,EXACT
250,202735.0,2017-12-12T14:20:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Squirrel Hill South,5.0,14.0,42003141400.0,3.0,14.0,4.0,2-21,-79.91955390000001,40.4250675,EXACT
251,193978.0,2017-10-17T15:45:00,Collapsed Catch Basin,Call Center,1,Pittsburgh Water and Sewer Authority,Spring Garden,1.0,26.0,42003241200.0,1.0,26.0,1.0,1-11,-79.99165040000001,40.4762805,EXACT
